Company name,NPRI_Report_ReportYear,Substance name,Current year quantity,Last year quantity,Two years ago quantity,Three years ago quantity,Number of employees,Group,Growth,Province,Price
ACCEL Energy Canada Ltd.,2022,"1,2,4-Trimethylbenzene",66.05966,0,0,0,18,Off-site Disposal,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Benzene,12.394412,0,0,0,18,Off-site Disposal,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Carbon monoxide,0,0,32.476,0,1,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Cyclohexane,39.605307,0,0,0,18,Off-site Disposal,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Ethylbenzene,94.310227,0,0,0,18,Off-site Disposal,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,113.888,0,1,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,PM10 - Particulate Matter <= 10 Micrometers,2.116039,0,1.218,0,18,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,2.116039,0,1.218,0,18,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Speciated VOCs (62 substances),4.96389,0,0,0,18,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Sulphur dioxide,0,0,0,0,12,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Toluene,46.314428,0,0,0,18,Off-site Disposal,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Total particulate matter,0,0,1.218,0,1,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Volatile Organic Compounds (VOCs),0,0,8.404,0,12,Releases to Air,1,Alberta,1
ACCEL Energy Canada Ltd.,2022,Xylene (all isomers),30.758075,0,0,0,18,Off-site Disposal,1,Alberta,1
ADM Agri-Industies Company,2022,Carbon monoxide,0,0,0,0,179,Releases to Air,1,Ontario,1
ADM Agri-Industies Company,2022,Hydrochloric acid,0,0,0,0,172,Releases to Air,1,Alberta,1
ADM Agri-Industies Company,2022,Methanol,0,0,0,0,172,Releases to Air,1,Alberta,1
ADM Agri-Industies Company,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,179,Releases to Air,1,Ontario,1
ADM Agri-Industies Company,2022,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,179,Releases to Air,1,Ontario,1
ADM Agri-Industies Company,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,179,Releases to Air,1,Ontario,1
ADM Agri-Industies Company,2022,Phosphorus (total),0,0,0,0,179,Off-site Disposal,1,Ontario,1
ADM Agri-Industies Company,2022,Sulphur dioxide,0,0,0,0,172,Releases to Air,1,Alberta,1
ADM Agri-Industies Company,2022,Total particulate matter,0,0,0,0,179,Releases to Air,1,Ontario,1
ADM Agri-Industies Company,2022,Volatile Organic Compounds (VOCs),0,0,0,0,172,Releases to Air,1,Alberta,1
ADM Agri-Industies Company,2022,n-Hexane,0,0,0,0,172,Releases to Air,1,Alberta,1
ADM Agri-Industries,2022,Carbon monoxide,0,0,0,0,180,Releases to Air,1,Ontario,1
ADM Agri-Industries,2022,Hydrochloric acid,0,0,0,0,155,Releases to Air,1,Alberta,1
ADM Agri-Industries,2022,Methanol,0,0,0,0,155,Releases to Air,1,Alberta,1
ADM Agri-Industries,2022,Nitrogen oxides (expressed as nitrogen dioxide),0,0,0,0,180,Releases to Air,1,Ontario,1
ADM Agri-Industries,2022,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,180,Releases to Air,1,Ontario,1
ADM Agri-Industries,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,180,Releases to Air,1,Ontario,1
ADM Agri-Industries,2022,Sulphur dioxide,0,0,0,0,155,Releases to Air,1,Alberta,1
ADM Agri-Industries,2022,Total particulate matter,0,0,0,0,180,Releases to Air,1,Ontario,1
ADM Agri-Industries,2022,Volatile Organic Compounds (VOCs),0,0,0,0,180,Releases to Air,1,Ontario,1
ADM Agri-Industries,2022,n-Hexane,0,0,0,0,180,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,Carbon monoxide,81.4922,87.4773,81.54,83.7102,133,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,Hydrochloric acid,0.119,0.119,0.119,0.119,174,Releases to Air,1,Alberta,1
ADM Agri-Industries Company,2022,Methanol,10.832,108.4322,108.4322,108.4322,174,Releases to Air,1,Alberta,1
ADM Agri-Industries Company,2022,Nitrogen oxides (expressed as nitrogen dioxide),107.0263,110.9918,101.7094,121.2061,133,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,PM10 - Particulate Matter <= 10 Micrometers,131.386,119.0084,124.2007,128.3052,202,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,65.9091,59.7683,60.3399,63.7424,202,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,Phosphorus (total),10.596,12.7736,33.6838,34.331,163,Off-site Transfers for Treatment Prior to Final Disposal,1,Ontario,1
ADM Agri-Industries Company,2022,Speciated VOCs (62 substances),1051.6497,0,0,0,202,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,Sulphur dioxide,92.4927,0.8566,0.8571,2.2834,138,Releases to Air,1,Alberta,1
ADM Agri-Industries Company,2022,Total particulate matter,131.386,119.0091,124.2016,128.3067,202,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,Volatile Organic Compounds (VOCs),1108.8692,1160.6993,1298.4936,1140.5936,140,Releases to Air,1,Ontario,1
ADM Agri-Industries Company,2022,n-Hexane,654.7849,640.8579,731.219,615.394,140,Releases to Air,1,Ontario,1
AECO Gas Storage Partnership,2022,"1,2,4-Trimethylbenzene",2.180038,0,0,0,10,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
AECO Gas Storage Partnership,2022,Carbon monoxide,96.10282,71.775,155.456,55.394,24,Releases to Air,1,Alberta,1
AECO Gas Storage Partnership,2022,Cyclohexane,0,0,0,0,10,Off-site Disposal,1,Alberta,1
AECO Gas Storage Partnership,2022,Ethylbenzene,6.554184,0,0,0.0336,10,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
AECO Gas Storage Partnership,2022,Ethylene glycol,0.000686,0.04674,1.8375,4.286,21,On-site Disposal,1,Alberta,1
AECO Gas Storage Partnership,2022,Formaldehyde,10.93063,0,0,0,22,Releases to Air,1,Alberta,1
AECO Gas Storage Partnership,2022,Methanol,0.534527,60.99692,63.08287,66.56694,24,On-site Disposal,1,Alberta,1
AECO Gas Storage Partnership,2022,Nitrogen oxides (expressed as nitrogen dioxide),87.99343,104.314,225.944,76.789,24,Releases to Air,1,Alberta,1
AECO Gas Storage Partnership,2022,PM10 - Particulate Matter <= 10 Micrometers,0,0,0,0,24,Releases to Air,1,Alberta,1
AECO Gas Storage Partnership,2022,PM2.5 - Particulate Matter <= 2.5 Micrometers,0,0,0,0,24,Releases to Air,1,Alberta,1
AECO Gas Storage Partnership,2022,Speciated VOCs (62 substances),19.106685,0,0,0,22,Releases to Air,1,Alberta,1
AECO Gas Storage Partnership,2022,Toluene,0,0,0,0.019,10,Off-site Disposal,1,Alberta,1
AECO Gas Storage Partnership,2022,Volatile Organic Compounds (VOCs),26.879843,32.30445,130.3595,66.1983,21,Releases to Air,1,Alberta,1
AECO Gas Storage Partnership,2022,Xylene (all isomers),1.46763,0,0,0,10,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
AECO Gas Storage Partnership,2022,n-Hexane,2.075056,1.98,0,0,10,Off-site Transfers for Treatment Prior to Final Disposal,1,Alberta,1
ARC RESOURCES LTD.,2022,"1,2,4-Trimethylbenzene",0,56.104,0,0,11,Off-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,Ammonia (total),23.088987,0,12.459,0,15,Releases to Air,1,British Columbia,1
ARC RESOURCES LTD.,2022,Benzene,0,39.98,0,0,11,Off-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,Carbon monoxide,7247.884715,6623.385458,7622.839,0,16,Releases to Air,1,Alberta,1
ARC RESOURCES LTD.,2022,Cyclohexane,5.794079,279.1106,60.4088,0,11,Off-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,Ethylbenzene,0,93.165,0,0,11,Off-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,Ethylene glycol,370.74516,382.6574,404.8584,0,15,On-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,Hydrogen sulphide,4824.428384,4411.3073,4007.1333,0,15,On-site Disposal,1,British Columbia,1
ARC RESOURCES LTD.,2022,Methanol,0,0,0.0631,0,11,Releases to Air,1,British Columbia,1
